SUBURB_ID,LABEL
10785,Other
10786,Other
10610,Other
10787,Other
10709,Other
10788,Other
10680,Other
10607,Other
10789,Other
10790,Other
10791,Other
10792,Other
10793,Other
10621,Other
10794,Other
10615,Other
10795,Other
10796,Other
10797,Other
10798,Other
10799,Other
10800,Other
10801,Other
10802,Other
10803,Other
10804,Other
10805,Other
10596,Other
10690,Other
10806,Other
10807,Other
10808,Other
10809,Other
10623,Other
10613,Other
10810,Other
10811,Other
10812,Other
10813,Other
10814,Other
10577,Other
10815,Other
10708,Other
10816,Other
10817,Other
10818,Other
10819,Other
10609,Other
10820,Other
10821,Other
10822,Other
10823,Other
10584,Other
10824,Other
10825,Other
10826,Other
10827,Other
10828,Other
10636,Other
10652,Other
10829,Other
10661,Other
10830,Other
10587,Other
10831,Other
10832,Other
10833,Other
10834,Other
10618,Other
10835,Other
10836,Other
10837,Other
10838,Other
10839,Other
10840,Other
10841,Other
10842,Other
10843,Other
10844,Other
10845,Other
10846,Other
10847,Other
10848,Other
10849,Other
10850,Other
10657,Other
10851,Other
10656,Other
10852,Other
10853,Other
10854,Other
10855,Other
10856,Other
10619,Other
10603,Other
10627,Other
10605,Other
10606,Other
10857,Other
10620,Other
10625,Other
10629,Other
10630,Other
10858,Other
10859,Other
10860,Other
10861,Other
10862,Other
10631,Other
10863,Other
10634,Other
10635,Other
10639,Other
10662,Other
10648,Other
11174,Other
10865,Other
10866,Other
10691,Other
10707,Other
10978,Other
11175,Other
10991,Other
10998,Other
11009,Other
11016,Other
11027,Other
11029,Other
11037,Other
11038,Other
11044,Other
11046,Other
11048,Other
11054,Other
11060,Other
11067,Other
11073,Other
11096,Other
11097,Other
11117,Other
11159,Other
11166,Other
11176,Other
11189,Other
11193,Other
11203,Other
11207,Other
11213,Other
11216,Other
11221,Other
11225,Other
11228,Other
11234,Other
11236,Other
11239,Other
11240,Other
11241,Other
11242,Other
11243,Other
11244,Other
11248,Other
11252,Other
11259,Other
11263,Other
11264,Other
11265,Other
11267,Other
11268,Other
11269,Other
11270,Other
11271,Other
11272,Other
11273,Other
11274,Other
11275,Other
11276,Other
11277,Other
11278,Other
11279,Other
11280,Other
11281,Other
11282,Other
11283,Other
11284,Other
11285,Other
11289,Other
11305,Other
11308,Other
11313,Other
11327,Other
11329,Other
11337,Other
11343,Other
11344,Other
11345,Other
11346,Other
11347,Other
11348,Other
11349,Other
11350,Other
11351,Other
11352,Other
11353,Other
11354,Other
11355,Other
11356,Other
11357,Other
11358,Other
11359,Other
11360,Other
11361,Other
11362,Other
11363,Other
11364,Other
11365,Other
11366,Other
11367,Other
11368,Other
11369,Other
11370,Other
11372,Other
11374,Other
11376,Other
11375,Other
11377,Other
11378,Other
11380,Other
11381,Other
11382,Other
11383,Other
11384,Other
11385,Other
11386,Other
11387,Other
11388,Other
11389,Other
11390,Other
11391,Other
11392,Other
11393,Other
11394,Other
11395,Other
11396,Other
11397,Other
11398,Other
11399,Other
11400,Other
11401,Other
11402,Other
11403,Other
11404,Other
11405,Other
11406,Other
11407,Other
11408,Other
11409,Other
11410,Other
11411,Other
11412,Other
11413,Other
11414,Other
11415,Other
11416,Other
11417,Other
11418,Other
11419,Other
11420,Other
11427,Other
11433,Other
11434,Other
11458,Other
11468,Other
11492,Other
11493,Other
10446,"Outer Ring Road"
10296,"Pakhowal Road"
11140,"Palakkad Central"
11141,"Palakkad East"
11139,"Palakkad South"
11142,"Palakkad West"
10473,Palitana
10318,Palwal
11290,"Palwal Sohna Road"
11441,Palwalrural
10230,Panchkula
11323,"Panchkula Extension 2"
10387,"Panipat North"
11157,"Papari Road"
11429,"Papari Road"
10079,Paragpur
10165,Parklands
11177,"Pathanamthitta North"
10459,"Patiala East"
10458,"Patiala North"
10457,"Patiala West"
10121,"Patna Central"
11432,"Patna South"
10385,"Patna West"
10246,"Paud Road"
10244,PCMC
11057,"Perambalur Central"
11055,"Perambalur East"
11058,"Perambalur North"
11059,"Perambalur South"
11056,"Perambalur West"
10245,"Peth Area"
11291,"Piprali Road"
10125,"Pondicherry Central"
10359,"Pondicherry North"
10712,"Pondicherry South"
11045,"Pudukkottai North"
10170,"Pune Center"
10568,"Pune Central"
10055,"Pune East"
10066,"Pune North"
10248,"Pune Satara Road"
10253,"Pune Solapur Highway"
10076,"Pune South"
10059,"Pune West"
10109,"Puri Central"
10375,"Puri North"
10276,"Rae Bareli Road"
10256,"Raigad North"
10313,"Raigad South"
10973,"Raipur Central"
10713,"Raipur East"
